355.0-005.0 192   1.25   8.46
005.0-015.0 204   1.60   8.93
015.0-025.0 218   1.69   9.84
025.0-035.0 264   2.29  11.85
035.0-045.0 264   2.12  13.80
045.0-055.0 284   2.25  15.65
055.0-065.0 370   2.67  16.07
065.0-075.0 364   2.32  15.45
075.0-085.0 358   2.96  14.87
085.0-095.0 394   2.81  14.09
095.0-105.0 326   2.19  13.69
105.0-115.0 292   1.77  13.13
115.0-125.0 272   1.97  12.96
125.0-135.0 180   1.75  13.92
135.0-145.0 198   2.10  13.64
145.0-155.0 168   2.00  13.67
155.0-165.0 166   2.19  12.89
165.0-175.0 162   1.95  12.66
175.0-185.0 176   1.68  10.87
185.0-195.0 188   1.72   9.14
195.0-205.0 214   1.52   8.12
205.0-215.0 234   1.38   7.55
215.0-225.0 240   1.39   6.00
225.0-235.0 250   1.46   6.02
235.0-245.0 316   1.71   6.28
245.0-255.0 340   1.86   7.81
255.0-265.0 356   2.28  10.32
265.0-275.0 428   2.09  10.85
275.0-285.0 314   1.95  10.39
285.0-295.0 338   2.22  11.98
295.0-305.0 306   1.99  14.73
305.0-315.0 216   2.52  15.15
315.0-325.0 212   2.05  11.76
325.0-335.0 186   1.23   8.72
335.0-345.0 172   1.16   8.88
345.0-355.0 170   1.38   8.50
