355.0-005.0   5   1.77   8.04
005.0-015.0   2   1.45   6.85
015.0-025.0   4   3.80   8.30
025.0-035.0   5   1.17  10.38
035.0-045.0   5   1.62  10.34
045.0-055.0   4   1.03  10.78
055.0-065.0   2   1.85   6.25
065.0-075.0   7   1.96   6.77
075.0-085.0   6   2.02   5.97
085.0-095.0   5   2.11   5.80
095.0-105.0   4   2.54   7.28
105.0-115.0   2   0.00   6.50
115.0-125.0   3   2.61   8.03
125.0-135.0   3   0.79  10.73
135.0-145.0   1    N/A  11.60
145.0-155.0   4   1.79   8.45
155.0-165.0   3   0.22   8.20
165.0-175.0   1    N/A  14.40
175.0-185.0   5   2.17   7.74
185.0-195.0   2   0.80   4.80
195.0-205.0   4   1.43   5.90
205.0-215.0   4   1.31   6.67
215.0-225.0   5   2.81   6.38
225.0-235.0   3   3.82   5.50
235.0-245.0   3   2.38   4.63
245.0-255.0   6   1.94  10.05
255.0-265.0   4   3.56  12.70
265.0-275.0   8   2.10  12.04
275.0-285.0   4   1.89  11.27
285.0-295.0   2   3.80   9.10
295.0-305.0   2   1.55  10.95
305.0-315.0   3   2.13  12.90
315.0-325.0   2   0.85  13.95
325.0-335.0   4   1.14   9.75
335.0-345.0   3   3.52  10.67
345.0-355.0   2   2.30  10.00
