355.0-005.0 186   1.75   7.78
005.0-015.0 202   1.77   7.02
015.0-025.0 212   1.73   7.60
025.0-035.0 258   2.11   8.86
035.0-045.0 256   1.80   9.19
045.0-055.0 270   1.98   8.15
055.0-065.0 360   2.37   6.87
065.0-075.0 354   2.14   5.44
075.0-085.0 338   1.84   5.07
085.0-095.0 378   1.94   5.59
095.0-105.0 316   1.94   6.05
105.0-115.0 288   2.08   6.71
115.0-125.0 268   1.89   7.26
125.0-135.0 170   1.69   9.07
135.0-145.0 198   1.98   9.30
145.0-155.0 168   1.78   9.48
155.0-165.0 164   1.89   9.35
165.0-175.0 158   2.11   9.01
175.0-185.0 170   1.49   7.47
185.0-195.0 186   1.72   7.06
195.0-205.0 210   1.65   6.60
205.0-215.0 226   1.71   6.30
215.0-225.0 236   2.04   5.77
225.0-235.0 234   1.95   5.94
235.0-245.0 312   2.18   6.42
245.0-255.0 328   2.59   9.25
255.0-265.0 346   2.68  12.27
265.0-275.0 404   2.42  12.07
275.0-285.0 300   2.19  10.07
285.0-295.0 334   2.55   9.17
295.0-305.0 298   2.03  10.47
305.0-315.0 214   2.27  11.66
315.0-325.0 204   2.17  10.67
325.0-335.0 186   1.76   9.20
335.0-345.0 172   1.51   8.79
345.0-355.0 164   1.86   8.87
