355.0-005.0 194   1.54  10.67
005.0-015.0 204   1.90  12.14
015.0-025.0 218   2.07  13.75
025.0-035.0 264   2.73  15.71
035.0-045.0 264   2.44  17.89
045.0-055.0 284   3.00  19.69
055.0-065.0 370   3.21  20.40
065.0-075.0 366   2.82  19.86
075.0-085.0 358   3.21  19.10
085.0-095.0 396   3.36  17.68
095.0-105.0 330   2.44  16.85
105.0-115.0 292   1.97  16.17
115.0-125.0 272   2.28  15.67
125.0-135.0 182   2.25  16.46
135.0-145.0 200   2.45  16.20
145.0-155.0 168   2.49  15.96
155.0-165.0 166   2.34  14.93
165.0-175.0 162   2.04  14.43
175.0-185.0 178   1.89  12.49
185.0-195.0 188   1.78  10.69
195.0-205.0 214   1.52   9.46
205.0-215.0 234   1.48   8.75
215.0-225.0 240   1.39   6.71
225.0-235.0 250   1.57   6.36
235.0-245.0 316   1.72   6.45
245.0-255.0 340   1.79   7.62
255.0-265.0 358   2.34   9.84
265.0-275.0 430   1.96  10.53
275.0-285.0 314   1.77  10.60
285.0-295.0 342   2.15  11.83
295.0-305.0 306   2.34  15.60
305.0-315.0 216   2.80  16.66
315.0-325.0 216   2.10  12.69
325.0-335.0 186   1.08   9.81
335.0-345.0 172   1.32   9.68
345.0-355.0 170   1.23   9.91
