355.0-005.0 174   1.27   3.36
005.0-015.0 188   1.51   4.44
015.0-025.0 210   1.49   5.64
025.0-035.0 254   2.01   6.92
035.0-045.0 236   2.00   8.72
045.0-055.0 262   2.20  10.10
055.0-065.0 308   2.44  11.00
065.0-075.0 282   2.13  11.71
075.0-085.0 268   2.43  12.02
085.0-095.0 310   2.90  12.66
095.0-105.0 210   2.30  13.81
105.0-115.0 202   1.80  13.97
115.0-125.0 190   2.18  13.83
125.0-135.0 118   1.97  15.51
135.0-145.0 124   2.68  16.21
145.0-155.0 120   2.28  15.70
155.0-165.0 124   2.63  14.42
165.0-175.0 128   2.09  13.63
175.0-185.0 162   1.92  11.69
185.0-195.0 174   2.09   9.75
195.0-205.0 206   1.92   8.25
205.0-215.0 228   2.07   7.21
215.0-225.0 222   1.94   5.24
225.0-235.0 226   1.89   4.54
235.0-245.0 280   2.05   3.60
245.0-255.0 284   1.35   2.73
255.0-265.0 258   1.52   2.46
265.0-275.0 330   1.43   2.26
275.0-285.0 224   1.04   2.49
285.0-295.0 234   1.13   1.99
295.0-305.0 204   0.97   2.10
305.0-315.0 140   0.91   2.16
315.0-325.0 136   0.78   2.18
325.0-335.0 122   0.93   2.15
335.0-345.0 136   1.00   2.65
345.0-355.0 130   1.36   3.46
