355.0-005.0 192   1.48   7.74
005.0-015.0 200   1.84  10.09
015.0-025.0 218   1.54  10.87
025.0-035.0 264   2.08  11.42
035.0-045.0 258   1.80  12.17
045.0-055.0 278   1.99  12.16
055.0-065.0 362   2.39  12.11
065.0-075.0 364   1.97  10.15
075.0-085.0 358   2.02   8.97
085.0-095.0 394   1.76   7.92
095.0-105.0 324   1.60   6.85
105.0-115.0 290   1.51   6.09
115.0-125.0 266   1.46   5.68
125.0-135.0 168   1.44   5.57
135.0-145.0 192   1.31   5.41
145.0-155.0 168   1.52   5.97
155.0-165.0 160   1.44   5.37
165.0-175.0 162   1.58   4.91
175.0-185.0 176   1.37   4.71
185.0-195.0 184   1.21   4.18
195.0-205.0 214   1.22   3.97
205.0-215.0 234   0.98   4.27
215.0-225.0 238   1.16   3.59
225.0-235.0 242   1.22   3.93
235.0-245.0 310   1.43   4.13
245.0-255.0 336   1.92   5.41
255.0-265.0 356   2.22   7.84
265.0-275.0 430   1.86   7.66
275.0-285.0 312   1.92   6.37
285.0-295.0 336   1.90   6.72
295.0-305.0 302   2.87   9.29
305.0-315.0 208   2.44  10.81
315.0-325.0 198   1.88   8.44
325.0-335.0 186   1.58   7.24
335.0-345.0 168   1.52   7.45
345.0-355.0 168   1.21   7.52
