355.0-005.0   3   0.79   2.20
005.0-015.0   3   0.91   4.60
015.0-025.0   2   2.95   3.45
025.0-035.0   2   1.40   4.40
035.0-045.0   6   2.98   4.23
045.0-055.0   3   3.26   5.43
055.0-065.0   7   1.84   4.91
065.0-075.0   4   1.19   2.38
075.0-085.0   4   1.32   3.05
085.0-095.0   2   0.65   2.75
095.0-105.0   2   1.30   3.00
105.0-115.0   2   0.75   1.55
115.0-125.0   4   1.25   1.90
125.0-135.0   2   0.90   4.20
135.0-145.0   2   0.40   3.90
145.0-155.0   5   2.26   6.74
155.0-165.0   2   2.40   2.90
165.0-175.0   2   1.90   4.50
175.0-185.0   3   2.36   4.30
185.0-195.0   3   0.85   2.77
195.0-205.0   2   3.25   4.15
205.0-215.0   2   3.05   3.85
215.0-225.0   5   1.31   3.02
225.0-235.0   3   1.09   2.73
235.0-245.0   7   1.39   4.63
245.0-255.0   3   1.59   5.33
255.0-265.0   6   2.89   5.58
265.0-275.0   1    N/A   5.20
275.0-285.0   3   0.45   7.10
285.0-295.0   2   0.15   8.85
295.0-305.0   3   2.30   8.63
305.0-315.0   2   2.90   7.90
315.0-325.0   3   0.79   4.33
325.0-335.0   3   1.35   4.23
335.0-345.0   4   2.88   3.42
345.0-355.0   2   1.50   5.50
