355.0-005.0 194   2.32  15.04
005.0-015.0 198   2.88  17.74
015.0-025.0 216   3.15  19.42
025.0-035.0 258   3.82  21.59
035.0-045.0 260   3.53  23.83
045.0-055.0 280   4.60  25.33
055.0-065.0 370   4.66  25.65
065.0-075.0 366   4.62  24.73
075.0-085.0 358   4.29  23.48
085.0-095.0 396   4.46  21.01
095.0-105.0 330   3.15  19.07
105.0-115.0 292   2.65  15.90
115.0-125.0 272   2.95  14.16
125.0-135.0 174   2.03  13.45
135.0-145.0 200   2.34  11.73
145.0-155.0 168   1.79  10.53
155.0-165.0 164   1.98   9.02
165.0-175.0 160   1.99   8.61
175.0-185.0 178   1.67   7.15
185.0-195.0 184   1.43   6.32
195.0-205.0 210   1.56   6.35
205.0-215.0 228   1.62   6.09
215.0-225.0 240   1.71   6.19
225.0-235.0 244   1.73   7.26
235.0-245.0 314   2.24   8.41
245.0-255.0 340   2.67  11.78
255.0-265.0 358   3.48  14.71
265.0-275.0 430   3.29  15.90
275.0-285.0 314   2.58  14.89
285.0-295.0 342   2.92  15.18
295.0-305.0 306   3.81  19.57
305.0-315.0 214   4.04  22.03
315.0-325.0 210   3.23  16.48
325.0-335.0 186   1.95  13.34
335.0-345.0 172   2.10  13.23
345.0-355.0 166   1.92  13.76
