355.0-005.0 194   2.12  12.19
005.0-015.0 204   3.15  15.62
015.0-025.0 218   2.95  17.12
025.0-035.0 264   3.51  18.92
035.0-045.0 258   3.55  21.49
045.0-055.0 282   4.25  22.68
055.0-065.0 356   4.24  23.61
065.0-075.0 346   3.80  23.48
075.0-085.0 326   3.81  22.07
085.0-095.0 372   4.28  20.46
095.0-105.0 302   3.44  20.79
105.0-115.0 266   3.10  20.52
115.0-125.0 260   3.46  19.41
125.0-135.0 176   3.30  20.42
135.0-145.0 200   3.17  20.18
145.0-155.0 168   3.38  19.49
155.0-165.0 166   2.99  18.39
165.0-175.0 162   2.81  17.95
175.0-185.0 178   2.73  15.19
185.0-195.0 188   2.17  13.84
195.0-205.0 214   2.19  12.37
205.0-215.0 234   2.51  11.32
215.0-225.0 240   2.41   8.91
225.0-235.0 244   2.24   7.83
235.0-245.0 314   2.47   6.48
245.0-255.0 322   1.98   5.24
255.0-265.0 342   2.19   4.66
265.0-275.0 396   1.87   4.34
275.0-285.0 292   1.63   4.27
285.0-295.0 310   1.75   4.08
295.0-305.0 280   1.75   4.70
305.0-315.0 208   1.71   5.18
315.0-325.0 210   1.87   6.40
325.0-335.0 186   2.16   8.65
335.0-345.0 172   2.36  10.44
345.0-355.0 170   2.34  11.26
