355.0-005.0 164   2.33   6.77
005.0-015.0 170   2.12   5.14
015.0-025.0 182   2.38   5.69
025.0-035.0 188   2.28   5.25
035.0-045.0 210   2.22   5.30
045.0-055.0 220   1.90   4.84
055.0-065.0 232   1.86   4.09
065.0-075.0 206   1.75   4.07
075.0-085.0 222   1.77   4.02
085.0-095.0 296   2.20   4.23
095.0-105.0 234   2.04   4.63
105.0-115.0 216   2.02   4.50
115.0-125.0 208   1.88   4.18
125.0-135.0 140   1.87   4.49
135.0-145.0 168   1.79   4.14
145.0-155.0 146   2.14   4.65
155.0-165.0 152   1.60   5.70
165.0-175.0 144   1.65   5.49
175.0-185.0 156   2.25   5.00
185.0-195.0 154   1.81   5.67
195.0-205.0 176   1.96   4.49
205.0-215.0 178   1.81   4.48
215.0-225.0 178   1.97   4.21
225.0-235.0 206   2.32   4.19
235.0-245.0 236   1.87   4.64
245.0-255.0 184   1.81   4.53
255.0-265.0 214   1.89   4.16
265.0-275.0 300   2.13   5.25
275.0-285.0 218   2.24   5.78
285.0-295.0 250   2.39   6.42
295.0-305.0 236   2.52   7.18
305.0-315.0 158   2.35   8.71
315.0-325.0 172   2.43   9.96
325.0-335.0 164   3.13   8.32
335.0-345.0 152   2.37   8.73
345.0-355.0 154   2.64   8.08
