355.0-005.0   4   1.99   7.02
005.0-015.0   2   1.90   7.70
015.0-025.0   4   2.68   7.05
025.0-035.0   6   2.55   5.60
035.0-045.0   1    N/A   1.50
045.0-055.0   4   2.64   6.65
055.0-065.0   4   3.36   4.55
065.0-075.0   3   1.42   4.00
075.0-085.0   3   9.18   9.03
085.0-095.0   8   2.86   4.78
095.0-105.0   6   1.43   5.95
105.0-115.0   3   2.42   6.30
115.0-125.0   4   2.34   9.38
125.0-135.0   3   1.44   8.53
135.0-145.0   1    N/A   5.80
145.0-155.0   1    N/A   7.60
155.0-165.0   4   1.53   6.97
165.0-175.0   2   4.35  10.25
175.0-185.0   4   1.62   4.00
185.0-195.0   2   0.05   1.85
195.0-205.0   4   4.30   8.12
205.0-215.0   6   2.78   5.87
215.0-225.0   1    N/A   2.70
225.0-235.0   3   0.59   6.13
235.0-245.0   3   4.69   5.13
245.0-255.0   4   2.01  11.62
255.0-265.0   3   2.33  12.23
265.0-275.0   6   2.32  12.18
275.0-285.0   8   3.06  12.00
285.0-295.0   3   1.20  13.87
295.0-305.0   4   8.18  17.62
305.0-315.0   3   1.10  12.73
315.0-325.0   1    N/A  14.20
325.0-335.0   2   0.85   8.05
335.0-345.0   4   1.11   6.10
345.0-355.0   2   3.60   7.60
