355.0-005.0 194   2.57  14.49
005.0-015.0 204   2.45  12.76
015.0-025.0 218   2.66  11.90
025.0-035.0 264   2.70  12.57
035.0-045.0 262   2.97  12.44
045.0-055.0 282   2.92  11.93
055.0-065.0 360   3.29  10.38
065.0-075.0 348   2.97   8.10
075.0-085.0 346   2.78   7.98
085.0-095.0 390   2.97   8.99
095.0-105.0 324   3.12  11.07
105.0-115.0 290   3.17  12.69
115.0-125.0 270   2.87  11.58
125.0-135.0 178   2.95  12.93
135.0-145.0 200   2.92  11.57
145.0-155.0 168   3.01  13.28
155.0-165.0 166   3.01  14.56
165.0-175.0 162   2.55  14.89
175.0-185.0 178   2.68  14.22
185.0-195.0 188   2.71  12.25
195.0-205.0 214   2.68  10.76
205.0-215.0 234   2.50  10.92
215.0-225.0 238   3.14  10.53
225.0-235.0 250   2.81   9.65
235.0-245.0 312   2.88   9.14
245.0-255.0 326   2.98  10.37
255.0-265.0 344   3.07  10.68
265.0-275.0 418   3.15  11.23
275.0-285.0 310   3.41  12.94
285.0-295.0 336   3.08  13.93
295.0-305.0 302   3.34  16.23
305.0-315.0 216   3.32  17.55
315.0-325.0 212   3.37  18.41
325.0-335.0 186   3.01  16.59
335.0-345.0 172   2.84  16.74
345.0-355.0 170   3.09  17.02
