355.0-005.0 192   1.16   5.90
005.0-015.0 202   1.63   6.24
015.0-025.0 216   1.39   6.76
025.0-035.0 264   1.91   7.86
035.0-045.0 264   2.04   9.81
045.0-055.0 284   1.89  11.35
055.0-065.0 368   2.51  11.73
065.0-075.0 364   2.36  11.34
075.0-085.0 358   2.64  11.30
085.0-095.0 396   2.34  10.94
095.0-105.0 324   1.97  10.72
105.0-115.0 290   1.77  10.43
115.0-125.0 266   1.80  10.40
125.0-135.0 174   1.54  11.29
135.0-145.0 194   2.12  11.27
145.0-155.0 168   1.65  10.84
155.0-165.0 166   2.05   9.93
165.0-175.0 162   1.83   9.70
175.0-185.0 176   1.47   7.99
185.0-195.0 186   1.80   6.99
195.0-205.0 212   1.32   5.59
205.0-215.0 234   1.33   4.89
215.0-225.0 240   1.52   4.04
225.0-235.0 250   1.37   4.10
235.0-245.0 316   1.53   4.45
245.0-255.0 338   1.71   5.58
255.0-265.0 356   2.02   7.56
265.0-275.0 430   1.83   7.92
275.0-285.0 314   2.02   8.26
285.0-295.0 336   2.18   9.74
295.0-305.0 304   2.03  12.07
305.0-315.0 210   2.28  12.92
315.0-325.0 202   1.97   9.62
325.0-335.0 186   1.37   6.81
335.0-345.0 172   1.21   6.82
345.0-355.0 170   1.54   6.53
