355.0-005.0 190   1.66   6.96
005.0-015.0 180   2.25   6.38
015.0-025.0 204   2.01   5.64
025.0-035.0 250   1.93   7.32
035.0-045.0 238   2.01   7.77
045.0-055.0 250   1.70   8.52
055.0-065.0 328   2.17   6.94
065.0-075.0 318   2.32   5.40
075.0-085.0 314   1.67   4.39
085.0-095.0 342   2.02   3.97
095.0-105.0 274   1.73   4.65
105.0-115.0 260   1.47   4.25
115.0-125.0 252   1.83   5.04
125.0-135.0 168   1.53   5.93
135.0-145.0 182   1.75   6.08
145.0-155.0 162   1.84   7.26
155.0-165.0 154   1.80   7.69
165.0-175.0 158   1.84   6.51
175.0-185.0 174   1.51   6.25
185.0-195.0 172   1.67   5.50
195.0-205.0 192   1.65   5.18
205.0-215.0 224   1.58   4.76
215.0-225.0 228   1.69   4.10
225.0-235.0 218   1.84   4.09
235.0-245.0 274   1.77   4.10
245.0-255.0 306   2.00   5.27
255.0-265.0 312   2.34   7.00
265.0-275.0 364   2.38   7.53
275.0-285.0 276   2.09   7.50
285.0-295.0 288   2.38   7.94
295.0-305.0 280   2.10   9.83
305.0-315.0 200   1.81  10.47
315.0-325.0 192   2.02   8.46
325.0-335.0 178   1.74   7.07
335.0-345.0 162   1.53   7.33
345.0-355.0 164   1.88   7.28
