 3 3.1980 0.030
 4 3.2138 0.025
 5 3.2308 0.020
 6 3.2480 0.020
 7 3.2670 0.015
 8 3.2878 0.015
 9 3.3092 0.015
10 3.3308 0.015
12 3.3805 0.015
14 3.4362 0.015
16 3.4979 0.015
18 3.5630 0.020
20 3.6292 0.020
22 3.6918 0.025
25 3.7753 0.025
27 3.8225 0.030
30 3.8796 0.030
34 3.9340 0.035
40 3.9814 0.035
45 4.0095 0.040
50 4.0281 0.040
59 4.0334 0.040
67 4.0581 0.040
77 4.1244 0.040
